track_id,release_year,decade,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_popularity,followers,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,vocabulary_wealth
2jDsxJzo2Trdr6aGRMhqG1,2017.0,2010s,0.522,0.853,0.775,0.00348,0.0684,0.0581,101.999,0.963,56.0,50571.0,1.27,4.41,87.0,517.0,0.0291365944934509,0.59
3ffP1DZrG2YtPYkj8Y9h9O,2019.0,2010s,0.708,0.485,0.566,2.04e-05,0.195,0.1,130.0,0.224,53.0,2345.0,1.39,4.51,83.0,660.0,0.0176315016162209,0.53
7joDVVx9xUk9egF30JeW8l,2019.0,2010s,0.0134,0.752,0.817,0.00013,0.0527,0.029,114.982,0.647,24.0,124.0,1.36,3.51,70.0,374.0,0.060455486542443,0.52
0uaKM65fL3aEgZdmwabvDb,2017.0,2010s,0.324,0.82,0.605,2.33e-06,0.159,0.0922,110.011,0.643,43.0,4050.0,1.21,7.44,43.0,427.0,0.0830564784053156,0.46
0yj3TGljzAb9JvcwzQbiGp,2019.0,2010s,0.232,0.789,0.279,5.1e-05,0.137,0.197,143.0,0.396,34.0,432.0,1.28,5.0,32.0,310.0,0.0,0.73
3VSMeD0q2AXrGbLkpNFlHW,2017.0,2010s,0.507,0.899,0.584,0.02,0.0835,0.0523,105.0,0.828,49.0,30174.0,1.22,2.91,95.0,506.0,0.0559910414333706,0.47
5SIkBY5BHyQV8gYPKAoU2O,2018.0,2010s,0.875,0.847,0.286,0.00278,0.157,0.0728,112.982,0.405,40.0,1093.0,1.32,4.93,30.0,245.0,0.025287356321839,0.63
3HYXqOAm2Q8b2OyYqzv8d4,2015.0,2010s,0.0437,0.71,0.827,1.28e-05,0.0896,0.032,110.003,0.833,36.0,12221.0,1.49,3.39,41.0,219.0,0.0451219512195121,0.38
0RTKzoAF6R3YoHrdBjmmtJ,2015.0,2010s,0.193,0.855,0.872,2.87e-05,0.0615,0.0548,130.998,0.96,50.0,20318.0,1.26,2.61,76.0,274.0,0.0266666666666666,0.56
4gf9Ka2doSbbVM2xygDhle,2018.0,2010s,0.437,0.768,0.499,0.0,0.099,0.0444,110.03,0.151,67.0,116602.0,1.18,4.21,43.0,338.0,0.0387596899224806,0.58
6IWAa1YGn96Bj6kGB3vo5H,2016.0,2010s,0.76,0.638,0.239,2.65e-05,0.0986,0.0292,106.067,0.0593,42.0,48887.0,2.37,3.89,9.0,53.0,0.0277777777777777,0.67
54dZfQvuHTT9iYSBazTC0l,2016.0,2010s,0.135,0.745,0.959,0.0,0.291,0.0648,125.023,0.965,44.0,24876.0,1.2,3.53,91.0,438.0,0.0302808302808302,0.57
2higcR673TPocfl3hqEjUT,2019.0,2010s,0.0698,0.778,0.628,0.0,0.154,0.0453,94.983,0.225,20.0,143.0,1.24,4.17,41.0,245.0,0.0195121951219512,0.67
7L8gX9VnvL32lNZEIyi1qs,2016.0,2010s,0.264,0.817,0.874,0.000244,0.0639,0.0435,114.006,0.972,46.0,42399.0,1.22,4.91,56.0,420.0,0.0032467532467532,0.69
5IIeWtpoIOYXOjI7abyw8Z,2018.0,2010s,0.449,0.495,0.639,0.0,0.0683,0.115,94.047,0.444,33.0,345.0,1.36,4.61,46.0,370.0,0.038647342995169,0.62
0BCaxnlUk186iWHY5PuCjX,2018.0,2010s,0.778,0.617,0.279,3.42e-05,0.0959,0.0316,79.943,0.471,37.0,5619.0,1.32,3.45,49.0,312.0,0.0229591836734693,0.58
2Kf9fwIOwZwd6Aw7OxfkF0,2017.0,2010s,0.374,0.926,0.354,0.0,0.49,0.511,105.005,0.561,40.0,1041.0,1.28,4.26,87.0,596.0,0.0213846565089548,0.44
7Ja0dJZ2rTAXAVpEevdeSs,2014.0,2010s,0.963,0.557,0.0957,0.0,0.207,0.0715,98.021,0.235,26.0,2076.0,1.35,2.82,49.0,220.0,0.0195578231292517,0.66
